herb_id,engName,chiName,effect,taste,quality,shape
0001,BB,馬勃,局部止血藥，清肺，利咽，解熱等。,辛，平。,以個大、皮薄、飽滿、鬆泡有彈性者為佳。,紫色馬勃：呈陀螺形，或已壓扁呈扁圓形，直徑5~12cm，不孕基部發達；包被薄，2層，紫褐色，粗皺，有圓形凹陷，外翻，上部常裂成小塊或已部分脫落；孢體紫色。
0002,Ginseng Root,人參,大補元氣，複脈固脫，補脾益肺，生津止渴，安神益智。用於體虛欲脫，肢冷脈微，脾虛食少，肺虛喘咳，津傷口渴，內熱消渴，久病虛贏，驚悸失眠，陽痿宮冷；心力衰竭，心原性休克。,平、味甘、微苦，微溫。,以條粗、質硬、皮細、無破痕者為佳。,生曬參片：為圓形或類圓形薄片，表面灰白色，顯菊花紋，粉性，體輕，質脆。有特異香氣。
0003,Tall Gastrodiae,天麻,息風止痙，平肝潛陽，祛風通絡。,氣微，性平，味甘，微辛。,藥材以質地堅實，體重，有鸚哥嘴，無空心者為佳。飲片以體實澤亮半透明者為佳。,塊莖呈橢圓形或長條形，略扁，皺縮而稍彎曲。長3~15cm，寬1.5~6cm，厚0.5~2cm。表面黃白色至淡黃棕色，略透明，多不規則縱皺紋，有縱皺紋及由潛伏芽排列成的多輪橫環紋，有時可見棕褐色菌索，具點狀痕點或膜質鱗葉有時可見棕黑色菌索。冬至以後莖枯時採挖者稱“冬麻”，頂端為紅棕色至深棕色頂芽；立夏以前植株出芽時採挖者稱“春麻”，頂端有殘留莖基。末端均有自母體麻脫落後的圓臍狀疤痕。質堅實，不易折斷，斷面較平坦，角質樣，黃白色或淡棕色。
0004,Coastal Glehnia Root,北沙參,養陰清肺，益胃生津。用於肺熱燥咳、勞嗽痰血、熱病津傷口渴。,甘，微苦，微寒。,以枝條細長、圓柱形、均勻、質堅、外皮色白者為佳。,長圓柱形，偶有分枝。表面淡黃白色，偶有外皮殘存，全體有細縱皺紋及縱溝，並有棕黃色點狀細根痕。頂端常留有棕黃色根莖殘基，上端稍細，中部略粗，下部漸細。質脆，易折斷，斷面皮部淺黃白色，木部黃色。氣特異，味微甘。
0005,Common Turmeric Rhizome,薑黃,破血行氣，通經止痛。用於胸脅剌痛，閉經，症瘕，風濕肩臂疼痛，跌撲腫痛。,辛，苦，溫。,以堅實、斷面金黃色、氣香濃者為佳。,呈不規則卵圓形、圓柱形或紡錘形，常彎曲，有的具短叉狀分枝，長2~5cm，直徑1~3cm。表面深黃色，粗糙，有皺縮紋理和明顯環節，並有圓形分枝痕及鬚根痕。質堅實，不易折斷，斷面棕黃色至金黃色，角質樣，有蠟樣光澤，內皮層環紋明顯，維管束呈點狀散在。氣香特異，味苦、辛。
0006,Tangute Rhubarb,大黃,攻積滯；清濕熱；瀉火；涼血；祛瘀；解毒。主治實熱便秘；熱結胸痞；濕熱瀉痢；黃疸；淋病；水腫腹滿；小便不利；目赤；咽喉腫痛；口舌生瘡；胃熱嘔吐；吐血；咯血；衄血；便血；尿血；蓄血；經閉；產後瘀滯腹痛；症瘕積聚；跌打損傷；熱毒癰瘍；丹毒；燙傷。,味苦，性寒。,以堅實、氣清香味苦而微澀者為佳。,本品呈類圓柱形、圓錐形、卵圓形或不規則塊狀，長3~17cm，直徑3~10cm。除盡外皮者表面黃棕色至紅棕色，有的可見類白色網狀紋理及星點 (異型維管束) 散在，殘留的外皮棕褐色，多具繩孔及粗皺紋。質堅實，有的中心稍鬆軟，斷面淡紅棕色或黃棕色，顯顆粒性；根莖髓部寬廣，有星點環列或散在；根木部發達，具放射狀紋理，成層環明顯，無星點。氣清香，味苦而微澀，嚼之粘牙，有砂粒感。
0007,Common Yan Rhizome,山藥,補脾養胃，生津益肺，補腎澀精。用於脾虛食少，久瀉不止，肺虛喘咳，腎虛遺精，帶下，尿頻，虛熱消渴。,甘、平。,以身長、條粗、質堅實、粉性足、色潔白者為佳。,略呈圓柱形，彎曲而稍扁，長15~30cm，直徑1. 5~6cm。表面黃白色或淡黃色，有縱溝、縱皺紋及鬚根痕，偶有淺棕色外皮殘留。體重，質堅實，不易折斷，斷面白色，粉性。無臭，味淡、微酸，嚼之發粘。光山藥呈圓柱形，兩端平齊，長9~18cm，直徑1. 5~3cm。表面光滑，白色或黃白色
0008,Tonkin Sophora Root,山豆根,清熱解毒，消腫利咽。用於火毒蘊結，咽喉腫痛，齒齦腫痛。,苦，寒，有毒。,以根條粗壯、外色綜褐、質堅、味苦者為佳。,乾燥根呈不規則的結節狀，頂端常殘留莖基或莖痕，其下著生數條根。根為長圓柱形，有時分枝，略彎曲，長10~20~35cm，直徑0.3~1cm；表面棕色至黑棕色，有縱皺紋及橫長略突起的皮孔。質硬難折斷，斷面略平坦、淺棕色，並可見環狀形成層，中心無髓。氣微弱，味極苦。
0009,Appendiculate Cremastra Pseudobulb,山慈菇,清熱解毒，化痰散結。治咽喉腫痛，瘰鬁，癰疽，瘡腫，產後瘀滯。,甘、微辛，涼；有小毒。,以色白、個大均勻、體質飽滿者為佳。,乾燥的鱗莖，呈不規則扁球形或圓錐形，表面黃棕色至棕褐色。高約0.7~1.5cm，直徑約0.5~1cm。底部圓而凹陷，有根痕，上端急尖，一側有縱溝自基部伸向頂端。表面黃白色，光滑。質硬，略呈角質，橫斷面黃白色，粉質。氣微，味淡，有黏性。
0010,Sanchi,三七,止血；散血；定痛。主治跌撲瘀腫，胸痹絞痛，症瘕；血瘀經閉；痛經；產後瘀陰腹痛；瘡癰腫痛。,甘、微苦，溫。,以個頭圓大飽滿、身乾、個大、體重堅實、斷面灰黑色、無裂隙者為佳。,主根呈類圓錐形或圓柱形，長1~6cm，直徑1~4cm。表面灰黃色或灰褐色，有斷續的縱皺紋及支根痕。頂端有莖痕，周圍有瘤狀突起。體重，質堅實，斷面灰綠色、黃綠色或灰白色，皮部與木質部較易分離，木部微呈放射狀排列。氣微，味苦回甜。
0011,Common Burreed Tuber,三棱,破血行氣，消積止痛。適用於多種腫瘤，以及血瘀氣滯、腹部結塊、肝脾腫大、經閉腹痛、食積脹痛等。,辛、苦，性平。,以個勻、體重、質堅實、去淨外皮、表面黃白色者為佳。,乾燥塊莖呈圓錐形或扁卵圓形，上圓下尖，長2.5~5cm，直徑1.5~3.5cm；表面黃白色或灰黃色，細膩或粗糙不平，有刀削痕跡，並有密集的點狀鬚根痕，略呈橫向環狀排列，兩側面有突起，凹凸不平；質堅實，極難折斷，入水下沉。切斷面平坦，黃白色或灰白色，向內色較深，中間有多數不明顯的維管束小點；氣微弱，味淡，嚼之微有麻辣感。
0012,Fresh Ginger,生薑,發汗解表，溫中止嘔，溫肺止咳，解魚蟹毒，解藥毒。,辛，微溫。,以個大，肉質厚，新鮮者為佳。,生薑呈不規則的塊狀，略扁，肉質肥厚。表面黃褐色或灰棕色，質脆，易折斷，斷面黃色，內皮層有明顯環紋。氣香特異，味辛辣。
0013,Dried Ginger,乾薑,溫中散寒，回陽通脈，燥濕消痰，溫肺化飲。主治脘腹冷痛；嘔吐；泄瀉，亡陽厥逆；寒飲喘咳；寒濕痹痛。,味辛，性熱。,以質堅實、斷面色黃白、粉性足、氣味濃者為佳。,根莖呈不規則塊狀，略扁，具指狀分枝，長3~7cm，厚1~2cm。表面灰棕色或淺黃棕色，粗糙，具縱皺紋及明顯的環節。分枝處常有鱗葉殘存，分枝頂端有莖痕或芽。質堅實，斷面黃白色或灰白色，粉性和顆粒性，有一明顯圓環 (內皮層)，筋脈點 (維管束) 及黃色油點散在。氣香，特異，味辛辣。
0014,Paniculate Bolbostemma Bulb,土貝母,散結，消腫，解毒。用於乳癰，瘰鬁；乳腺炎，頸淋巴結結核，慢性淋巴結炎，肥厚性鼻炎。,味苦，微寒。,以個大、紅棕色、質堅實、有亮光，半透明者為佳。,乾燥塊莖呈不規則塊狀，多角或三棱形，高0.6~1.6cm，直徑0.7~2cm。暗棕色至半透明的紅棕色，表面凹凸不平，多裂紋，頂端常有一突起的芽狀物。質堅硬，不易折斷。斷面角質，光亮而平滑微有焦糊氣，味微鹹而苦。
0015,Glabrous Greenbrier Rhizome,土茯苓,解毒，除濕，利關節。治梅毒，淋濁，筋骨攣痛，腳氣，疔療瘡，癰腫，瘰鬁，梅毒及汞中毒所致的肢體拘攣，筋骨疼痛。,甘、淡，平。,以外皮淡棕色、質堅實、斷面白色或淡紅棕色、筋脈少、粉性足者為佳。,切片為長形薄片，大小不等，厚約1~3mm，邊緣不整齊，淡紅棕色或類白色；中間略具維管束點，仔細觀察時可見砂礫樣的光亮。縱切片常見花紋。導管不規則，富粉質，微有彈性，用水潤濕後，手摸之有光滑感。
0016,Common Achyranthes,牛膝,補肝腎；強筋骨；活血通經；引火 (血) 下行；利尿通淋。主治腰膝酸痛；下肢痿軟；血滯經閉；痛經；產後血瘀腹痛；症瘕；胞衣不下；熱淋；血淋；跌打損傷；癰腫惡瘡；咽喉腫痛。,味苦；酸；性平。,以條長、皮細肉肥、色黃白者為佳。,根呈細長圓柱形，有的稍彎曲，上端稍粗，下端較細，長15~50cm，直徑0.4~1cm。表面及黃色或淡棕色，具細微縱皺紋，有細小橫長皮孔及稀疏的細根痕。質硬而脆，易折斷，斷面平坦，黃棕色，微呈角質樣，中心維管束木部較大，黃白色，其週邊散有多數點狀維管束，排列成2~4輪。氣微，味微甜、澀。
0017,Fourleaf Ladybell Root,南沙參,養陰清肺，益胃生津，補氣，化痰。補肺脾之氣，適用於脾肺氣虛，倦怠乏力，食少，自汗，舌淡，脈弱者。,甘，微寒。,以條長、皮細肉肥、色黃白者為佳。,根呈圓錐形或圓柱形，略彎曲，長7~27cm，直徑0.8~3cm。表面黃白色或淡棕黃色，凹陷處常有殘留粗皮，上部多有深陷橫紋，呈斷續的環狀，下部有縱紋及縱溝。頂端具1或2個根莖 (蘆頭) 。體輕、質脆易折斷，斷面不平坦，黃白色，多裂隙。無臭，味微甘。
0018,Lightyellow Sophra Root,苦參,清熱燥濕；祛風殺蟲。主濕熱瀉痢；腸風便血；黃疸；小便不利；水腫；帶下；陰癢；疥癬；麻風；皮膚瘙癢；濕毒瘡瘍 。,苦，寒。,以條勻、斷面黃白、味極苦者為佳。,根長圓柱形，下部常分枝，長10~30cm，直徑l~2.5cm。表面棕黃色至灰棕色，具縱皺紋及橫生皮孔。栓皮薄，常破裂反卷，易剝落，露出黃色內皮。質硬，不易折斷，折斷面纖維性。切片厚3~6mm，切面黃白色，具放射狀紋理。氣微，味苦。
0019,Different Leaves Pseudostellaria,太子參,補益脾肺，益氣生津。治肺虛咳嗽，脾虛食少，心悸，怔忡，水腫，消渴，精神疲乏。,甘，微苦，微溫。,以肥潤、黃白色、無鬚根者為佳。,乾燥塊根呈細長條形或長紡錘形，長約2~6cm，直徑約3~6mm左右，表面黃白色，半透明，有縱皺紋及凹下的鬚根痕，根頭鈍圓，其上常有殘存的莖痕，下端漸細如鼠尾。質脆易折斷，斷面黃白色或類白色，直接曬乾的斷面為白色，有粉性，氣微，味微甘。
0020,Dan - shen Root,丹參,活血調經，祛瘀止痛，涼血消癰，清心除煩，養血安神。主治月經不調，經閉痛經，症瘕積聚，胸腹刺痛，熱痹疼痛，瘡瘍腫痛，心煩不眠；肝脾腫大，心絞痛。,苦，微寒。,以條粗壯、色紫紅者為佳。,藥材多為帶根莖的根，根莖粗短，有莖基殘餘，下著生多數細長的根。根呈圓柱形，稍彎曲，表面呈磚紅色，粗糙，具多數縱溝或皺紋，有鬚根痕，外部栓皮常鱗片狀剝落，皮層有時開裂，長8~22cm，直徑5~12mm，質堅脆，易折斷，斷面不平，疏鬆有裂隙，皮部棕渴色或磚紅色，韌皮部狹。形成層明顯，淡棕色，木質部導管束灰黃色或黃白色，放射狀排列。氣微，味微苦、澀。
0021,Pilose Asiabell Root,黨參,補中益氣，健脾益肺。用於脾肺虛弱，氣短心悸，食少便溏，虛喘咳嗽，內熱消渴。,甘、微酸，性平。,以條粗長、質柔潤、氣味濃，“化渣”者為佳。,呈長圓柱形，稍彎曲，長10~35cm，直徑0.4~2cm。根上端1~3cm部分有環紋，質稍軟，斷面裂隙少。味微酸。根頭部有多數疣狀突起的莖痕的頂端呈凹下的圓點狀；根頭下有緻密的環狀橫紋，向下漸稀疏，有的達全長的一半，栽培品環紋少或無；全體有縱皺紋及散在的橫長皮孔，支根斷落處常有黑褐色膠狀物。質稍硬或略帶韌性，斷面稍平坦，有裂隙或放射狀紋理，皮部淡黃白色至淡棕色，木部淡黃色。有特殊香氣，味微甜。
0022,Japanese Stemona Root,百部,潤肺下氣止咳，殺蟲。用於新久咳嗽，肺癆咳嗽，百日咳；外用於頭蝨，體虱，蟯蟲病，陰部騷癢。,甘、苦，微溫。,以粗壯、肥潤、堅實、色白者為佳。,對葉百部：呈長紡錘形或長條形，長8~24cm，直徑0.8~2cm。表面淺黃棕色至灰棕色，具淺縱皺紋或不規則縱槽。質堅實，斷面黃白色至暗棕色，柱較大，髓部類白色。
0023,Giant Typhonium Tuber,白附子,燥濕化痰，祛風止痙，解毒散結止痛。,味辛、甘，性溫，有毒。,以個大、質堅實，色白、粉性足者為佳。,白附子塊莖呈橢圓形或卵圓形，長2~5cm，直徑1~3cm。表面白色或黃白色，有環紋及鬚根痕，頂端具莖痕或芽痕。質堅硬，斷面類白色，富粉性。無臭，味淡，嚼之麻辣刺舌。
0024,Lalang Grass Rhizome,白茅根,涼血，止血，清熱，利尿。治熱病煩渴，吐血，衄血，肺熱喘急，胃熱噦逆，淋病，小便不利，水腫，黃疸。,甘、寒。,以條粗、色白、味甜者為佳。,根莖長圓柱形，有時分枝，長短不一，長30~60cm，直徑2~4mm。表面黃白色或淡黃色，有光澤，具縱皺紋，環節明顯，節上殘留灰棕色鱗葉及細根，節間長1~3cm。體輕，質韌，折斷面纖維性，黃白色，多具放射狀裂隙，有時中心可見一小孔。氣微，味微甜。
0025,Willowleaf Swallowwort Rhizome and Root,白前,降氣化痰，止咳。用於咳嗽痰多，氣喘。該品性微溫而不燥烈，長於祛痰，降肺氣以平咳喘，無論屬寒屬熱，外感內傷，新嗽久咳均可用之。,辛、苦，微溫。,以根莖粗、鬚根長、斷面粉白色、粉性足者為佳。,根纖細彎曲扭轉而成團狀，長約1~10cm，多數呈毛須狀，表面棕色或紫棕色，有細繳皺，並具多數小鬚根。根莖呈管狀，細長有節，略彎曲，長約4~15cm，直徑1.5~5mm，表面淺黃色至黃棕色，有細縱皺紋，節部膨大，常有分歧，並密生鬚根，頂端常殘留灰綠色或紫棕色的地上莖；質堅脆，易折斷，斷面類圓形，中空或有膜質的髓。質堅脆，易折斷，斷面類白色，氣微弱，味甜。
0026,White Peony Root,白芍,養血柔肝，緩中止痛，斂陰收汗。治胸腹脅肋疼痛，瀉痢腹痛，自汗盜汗，陰虛發熱，月經不調，崩漏，帶下。,苦酸，微寒。,以根粗長、勻直、質堅實、粉性足、表面潔淨者為佳。,乾燥根呈圓柱形，粗細均勻而平直，長10~20cm，直徑1~1.8cm。表面淡紅棕色或粉白色，平坦，或有明顯的縱皺及鬚根痕，栓皮未除盡處有棕褐色斑痕，偶見橫向皮孔。質堅實而重，不易折斷。斷面灰白色或微帶棕色，木部放射線呈菊花心狀，形成層環明顯。氣微，味微苦而酸。
0027,Chinese Pulsatilla Root,白頭翁,清熱解毒，涼血止痢，燥濕殺蟲。主治熱毒痢疾，鼻衄，血痔，帶下，陰癢，癰瘡，瘰鬁。,味苦，性寒。,以條粗長，質堅實者為佳。,根長圓柱形或圓錐形，稍彎曲，有時扭曲而稍扁，長5~20cm，直徑0.5~2cm。表面黃棕色或棕褐色，有不規則的縱皺紋或縱溝，中部有時分出2~3支根，皮部易脫落而露出黃色木部，且常朽蝕成凹洞，可見縱向突起的網狀花紋；根頭部稍膨大，有時分叉，頂端殘留數層鞘狀葉柄基及幼葉，密生白色長絨毛。質硬脆，折斷面稍平坦，皮部黃白色，木部淡黃色，皮部與木部間有時出現空隙。氣微，味微苦澀。
0028,Common Bletilla Tuber,白及,補肺，止血，消腫，生肌，斂瘡。治肺傷咳血，衄血，金瘡出血，癰疽腫毒，潰瘍疼痛，湯火灼傷，手足皸裂。,味苦、甘、澀，微寒。,以個大、飽滿、色白、半透明、質堅實者為佳。,該品呈不規則扁圓形，多有2~3 個爪狀分枝，長1.5~5cm，厚0.5~1.5cm。表面灰白色或黃白色，有數圈同心環節和棕色點狀鬚根痕，上面有凸起的莖痕，下面有連接另一塊莖的痕跡。質堅硬，不易折斷，斷面類白色，角質樣。無臭，味苦，嚼之有黏性。
0029,Japanese Ampelopsis Root Tuber,白蘞,清熱解毒；散結止痛；生肌斂瘡。用治瘡瘍腫毒，瘰鬁，燙傷，濕瘡，溫瘧，驚癇，血痢，腸風，痔漏，白帶，跌打損傷，外傷出血。,味苦、甘、辛，微寒。,以肥大、斷面粉紅色、粉性足者為佳。,塊根長圓形或紡錘形，多縱切成瓣或斜片。完整者長5~12cm，直徑1.5~3.5cm。表面紅棕色或紅褐色，有縱皺紋、細橫紋及橫長皮孔，栓皮易層層脫落，脫落處顯淡紅棕色，剖面類白色或淡紅棕色，皺縮不平。斜片呈卵圓形，長2.5~5cm，寬2~3cm，切面類白色或淺紅棕色，中部有一突起棱線，可見放射狀紋理，周邊較厚，微翹起或略彎曲翻卷。體輕，質硬脆，易折斷粉性。氣微，味微甜。
0030,Blackend Swallowwort Root and Rhizome,白薇,清熱涼血，利尿通淋，解毒療瘡。用於溫邪傷營發熱，陰虛發熱，骨蒸勞熱，產後血虛發熱，熱淋，血淋，癰疽腫毒。,味苦、鹹，寒。,以根細長，棕黃色者為佳。,根莖粗短，有結節，多彎曲。上面有圓形的莖痕，下面及兩側簇生多數細長的根，根長10~25cm，直徑0.1~0.2cm。表面棕黃色。質脆，易折斷，斷面皮部黃白色，木部黃色。氣微，味微苦。
0031,Taiwan Angelica Root,白芷,祛風濕，活血排膿，生肌止痛。用於頭痛、牙痛、鼻淵、腸風痔漏、赤白帶下、癰疽瘡瘍、皮膚瘙癢。,辛，溫。,以條粗壯，質堅硬、體重、色白、粉性足、香氣濃者為佳。,根呈圓錐形，長10~20cm，直徑2~2.5cm。表面灰棕色，有橫向突起的皮孔，頂端有凹陷的莖痕。質硬，斷面白色，粉性足，皮部密佈棕色油點。氣芳香，味辛、微苦。
0032,Largehead Atractylodes Rhizome,白朮,健脾益氣、燥濕利水、止汗、安胎。用於脾虛食少、腹脹泄瀉、痰飲眩悸、水腫、自汗、胎動不安。,苦、甘，溫。,以個大、堅實、斷面黃白色、香氣濃郁者為佳。,根莖呈拳形團塊，長3~13cm，直徑1.5~7cm。表面灰黃色或灰棕色，有瘤狀突起及斷續的縱皺紋和鬚根痕，頂端有殘留莖基和芽痕。質堅硬，不易折斷，斷面不平坦，黃白色至淡棕色，有棕黃色的點狀油室散在。氣清香，味甘、微辛，嚼之略帶粘性。
0033,Medicinal Morinda Root,巴戟天,補腎助陽；強筋壯骨；祛風除濕。用於腎虛陽痿；遺精早洩；少腹冷痛；小便不禁；宮冷不孕；風寒濕痹；腰膝酸軟；風濕肢氣。,辛、甘，溫。,以條肥壯、連珠狀、肉厚、色紫者為佳。,根扁圓柱形式圓柱形，略彎曲，長度不等，直徑1~2cm，表面灰黃色或灰黃棕色，有的微帶紫色，具縱皺及深陷的橫紋，有的呈縊縮狀或皮部橫向斷離而露出木部，形如雞腸。質堅韌，折斷面不平，皮部厚5~7mm，淡紫色，木部直徑2~4mm。氣微，味苦，略澀。
0034,Indigowoad Root,板藍根,清熱，解毒，涼血，利咽。用於溫毒發斑；高熱頭痛；大頭瘟疫；舌絳紫暗，爛喉丹痧；丹毒；痄腮；喉痹；瘡腫、癰腫；水痘；麻疹；肝炎；流行性感冒，流腦，乙腦，肺炎，神昏吐衄，咽腫，火眼，瘡疹。,苦，寒。,以根平直粗壯、堅實、粉性大者為佳。,呈細長圓柱形，長約10~20~30cm，直徑3~8mm。表面淺灰黃色，粗糙，有縱皺紋及橫斑痕，並有支根痕，根頭部略膨大，頂端有一凹窩，周邊有暗綠色的葉柄殘基，較粗的根並現密集的疣狀突起及輪狀排列的灰棕色的葉柄痕。質堅實而脆，斷面皮部黃白色至淺棕色，木質部黃色。氣微弱，味微甘。
0035,Chinaroot Greenbrier Rhizome,菝葜,祛風利濕；解毒消癰。主風濕痹痛；淋濁；帶下；泄瀉；痢疾；癰腫瘡毒；頑癬；燒燙傷；解毒，驅風，瘡科要藥，有發汗，驅風，利尿及治淋病，癌症，消渴症的功用，葉搗爛外稃治惡瘡。,甘、酸，平。,以根莖粗壯、斷面色紅者為佳。,呈細長圓柱形，長約10~20~30cm，直徑3~8mm。表面淺灰黃色，粗糙，有縱皺紋及橫斑痕，並有支根痕，根頭部略膨大，頂端有一凹窩，周邊有暗綠色的葉柄殘基，較粗的根並現密集的疣狀突起及輪狀排列的灰棕色的葉柄痕。質堅實而脆，斷面皮部黃白色至淺棕色，木質部黃色。氣微弱，味微甘。
0036,Asiatic Moonseed Rhizome,北豆根,清熱解毒，消腫利咽。用於火毒蘊結，咽喉腫痛，齒齦腫痛。,苦，寒，有小毒。,以粗壯、味苦者為佳。,根莖圓柱形，彎曲，有分枝，長可達50cm，直徑0.3~0.8cm。表面黃棕色至暗棕色，多有彎曲的細根及縱皺紋，外皮易剝落。質韌，不易折斷，斷面不整齊，纖維性，木部黃色，呈放射狀排列，中心有髓。氣微，味苦。
0037,Kusnezoff Monkshood Mother Root,草烏,祛風除濕，溫經止痛。用於風寒濕痹，關節疼痛，心腹冷痛，寒疝作痛，麻醉止痛。,辛、苦，熱，有大毒。,以個大、肥壯、質堅實、粉性足、殘莖及鬚根少者為佳。,草烏呈圓錐形而稍彎曲，形如烏鴉頭，長2~7cm，直徑1~3cm，頂端常有長1cm左右的殘莖或莖痕，表面暗棕色或灰褐色，外皮皺縮。有的具突起的支根。質堅，難折斷，斷面白色或灰白色，形成層環紋多角形或類圓形。無臭，味辛辣，麻舌。
0038,Chinese Thorawax Root,柴胡,和解少陽，疏肝解鬱。透表泄熱，升舉陽氣。用於感冒發熱、寒熱往來、瘧疾，肝鬱氣滯，胸肋脹痛，脫肛，子宮脫落，月經不調。,苦，微寒。,以條粗，無殘留鬚根者為佳。,呈圓柱形或長圓錐形，長6~15cm，直徑0.3~0.8cm。根頭膨大，頂端殘留3~15個莖基或短纖維狀葉基，下部分枝。表面黑褐色或淺棕色，具縱皺紋、支根痕及皮孔。質硬而韌，不易折斷，斷面顯片狀纖維性，皮部淺棕色，木部黃白色。氣微香，味微苦。
0039,Antifebrile Dichroa Root,常山,解熱抗瘧，解毒。主治瘧疾，湧吐痰涎。,苦、辛，寒，有毒。,以質堅硬、斷面色淡黃者為佳。,主根多粗直而長，有的呈圓柱形作不規則彎曲扭轉，直徑6~20mm；側根多數，並有無數細根，表面灰棕色，具不規則縱橫裂紋。質堅硬，不易折斷，斷面黃白色或淡黃色，皮部厚，鮮時易剝離，內面光滑，富有粘質。外形極似常山，但斷面為白心，故稱“白常山”。氣微，味淡。飲片呈淡黃色。
0040,Swordlike Atracylodes Rhizome,蒼朮,燥濕健脾，祛風散寒，明目。用於脘腹脹滿，泄瀉水腫，腳氣痿躄，風濕痹痛，風寒感冒，夜盲。,苦、辛，溫。,以個大、質堅實、斷面朱砂點多、香氣濃者為佳。,呈不規則連珠狀或結節狀圓柱形，略彎曲，偶有分枝，長3~10cm，直徑1~2cm。表面灰棕色，有皺紋、橫曲紋及殘留鬚根，頂端具莖痕或殘留莖基。質堅實，斷面黃白色或灰白色，散有多數橙黃色或棕紅色油室，暴露稍久，可析出白色細針狀結晶。氣香特異，味微甘、辛、苦。
0041,Red Paeoniae Trichocarpae,赤芍,清熱涼血、散瘀止痛的功能。生赤芍以清熱涼血力勝。多用於溫病熱入血分的身熱出血，目赤腫痛，癰腫瘡毒。,苦，微寒。,以根條粗壯、粉性足、斷面粉白色者為佳。,該品呈圓柱形，稍彎曲，長5~40cm，直徑0.5~3cm。表面棕褐色，粗糙，有縱溝及皺紋，並有鬚根痕及橫向凸起的皮孔，有的外皮易脫落。質硬而脆，易折斷，斷面粉白色或粉紅色，皮部窄，木部放射狀紋理明顯，有的有裂隙。氣微香，味微苦、酸澀。
0042,Chinese Manyleaf Paris Rhizome,重樓,清熱解毒，消腫止痛，涼肝定驚。作於疔腫癰腫、咽喉腫痛、毒蛇咬傷、跌撲傷痛、驚風抽搐。,苦，微寒，有小毒。,以根條粗壯、粉性足、斷面粉白色者為佳。,根莖類圓柱形，多較平直，少數彎曲。直徑1~6cm，長4.5~12cm。表面黃棕色，少數灰褐色，較平滑；環節較稀疏，突起不明顯；莖痕半圓形或扁圓形，不規則排列，表面較平或稍突起。質堅硬，不易折斷，斷成粉質或角質化。氣微，味苦。飲片切面白色或類白色，具粉性。
0043,Tendrilleaf Fritillary Bulb,川貝母,清熱潤肺，化痰止咳。用於肺熱燥咳，乾咳少痰，陰虛勞嗽，咯痰帶血。,甘、苦，微寒。,以個小、完整、白色、質堅實、粉性足者為佳。,爐貝呈長圓錐形，高0.7~2.5cm，直徑0.5~2.5cm。表面類白色 (白爐貝) 或淺棕黃色 (黃爐貝)，有的具棕色斑點。外層鱗葉2瓣，大小相近，頂部開裂而略尖，基部稍尖或較鈍。
0044,Common Vladimiria Root,川木香,行氣止痛。用於脘腹脹痛，腸鳴腹瀉，裡急後重，兩脅不舒，肝膽疼痛。,辛、苦，溫。,以質硬、條粗、香氣濃者為佳。,呈圓柱形，習稱鐵杆木香，或成縱槽狀半圓柱形，習稱槽子木香，稍彎曲，長10~30cm，直徑1~3cm。表面黃褐色或暗褐色，具較細的縱皺紋，外皮脫落處可見絲瓜絡狀細脈紋，根頭偶有黑色發粘的膠狀物，習稱油頭或糊頭。體較輕，質脆易折斷。斷面黃白色或黃色，散有深黃色稀疏油點及裂隙，木部較寬廣，有放射狀紋理；有的中心呈腐朽狀。氣微香，味苦，嚼之粘牙。
